feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
DAG 15:0;0_17:1;0,DAG,GL,MEM,32,1,0,NA,0.255201012,NA,NA
DAG 16:0;0_16:1;0,DAG,GL,MEM,32,1,0,69.9607009887695,10.75389957,28.3213005065918,3.185820103
DAG 14:0;0_18:2;0,DAG,GL,MEM,32,2,0,0.363806992769241,NA,NA,NA
DAG 14:1;0_18:1;0,DAG,GL,MEM,32,2,0,2.90991997718811,NA,NA,NA
DAG 15:1;0_17:1;0,DAG,GL,MEM,32,2,0,NA,NA,NA,NA
DAG 16:0;0_16:2;0,DAG,GL,MEM,32,2,0,1.32658004760742,NA,NA,NA
DAG 16:1;0_16:1;0,DAG,GL,MEM,32,2,0,9.9987096786499,2.872620106,NA,NA
DAG 16:1;0_16:2;0,DAG,GL,MEM,32,3,0,NA,NA,NA,NA
DAG 16:0;0_17:0;0,DAG,GL,MEM,33,0,0,NA,1.536550045,NA,1.550009966
DAG 13:0;0_20:1;0,DAG,GL,MEM,33,1,0,0.278490006923676,NA,NA,NA
DAG 15:0;0_18:1;0,DAG,GL,MEM,33,1,0,12.3017997741699,2.504240036,4.44664001464844,1.513149977
DAG 16:0;0_17:1;0,DAG,GL,MEM,33,1,0,6.27409982681274,1.323279977,1.36351001262665,0.691466987
DAG 16:1;0_17:0;0,DAG,GL,MEM,33,1,0,3.3848600387573202,1.419170022,NA,0.905479014
DAG 16:0;0_18:0;0,DAG,GL,MEM,34,0,0,27.7127990722656,NA,NA,NA
DAG 14:0;0_20:1;0,DAG,GL,MEM,34,1,0,NA,NA,NA,NA
DAG 16:0;0_18:1;0,DAG,GL,MEM,34,1,0,158.701995849609,23.3178997,73.272102355957,15.47529984
DAG 16:1;0_18:0;0,DAG,GL,MEM,34,1,0,11.4693002700806,1.612100005,7.05445003509521,1.427919984
DAG 16:0;0_18:2;0,DAG,GL,MEM,34,2,0,2.88871002197266,0.509594977,1.10837996006012,0.382631987
DAG 16:1;0_18:1;0,DAG,GL,MEM,34,2,0,85.7514038085938,12.50669956,21.4888000488281,6.46668005
DAG 16:2;0_18:0;0,DAG,GL,MEM,34,2,0,0.51690798997879,NA,NA,NA
